#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       1.059387140894e-05      -1.504692584119e-04      -1.128579031938e-04      -1.128579039513e-04      -1.134715359523e-04      -1.134715359523e-04      -1.134715359523e-04      -1.129349910289e-04       6.010421623718e-01       5.997523796683e-01       2.257158079025e-04       9.568452812945e-08       9.999991026963e-01      -8.483996766896e-11 
       1.333689392599e-05      -2.384702412603e-04      -1.788676500245e-04      -1.788676519272e-04      -1.798394324238e-04      -1.798394324238e-04      -1.798394324238e-04      -1.789898043812e-04       6.010418066166e-01       5.997520766136e-01       3.577353038545e-04       1.516496778622e-07       9.999985778773e-01      -1.344597169899e-10 
       1.679015467784e-05      -3.779311188522e-04      -2.834859388907e-04      -2.834859436701e-04      -2.850242012336e-04      -2.850242012336e-04      -2.850242012336e-04      -2.836794861727e-04       6.010412427894e-01       5.997515970879e-01       5.669718873403e-04       2.403483426109e-07       9.999977460989e-01      -2.130977919175e-10 
       2.113755239188e-05      -5.989333787619e-04      -4.492944768977e-04      -4.492944889030e-04      -4.517276633883e-04      -4.517276633883e-04      -4.517276633883e-04      -4.496010922113e-04       6.010403483315e-01       5.997508361585e-01       8.985889778059e-04       3.809259518548e-07       9.999964278440e-01      -3.377208852884e-10 
       2.661060184927e-05      -9.491271905025e-04      -7.120826087016e-04      -7.120826388571e-04      -7.159269052435e-04      -7.159269052435e-04      -7.159269052435e-04      -7.125682184880e-04       6.010389311566e-01       5.997496290499e-01       1.424165277714e-03       6.037256905766e-07       9.999943386080e-01      -5.352108860915e-10 
       3.350076289118e-05      -1.503968251299e-03      -1.128571992589e-03      -1.128572068333e-03      -1.134634539957e-03      -1.134634539957e-03      -1.134634539957e-03      -1.129340771415e-03       6.010366853948e-01       5.997477177702e-01       2.257144136665e-03       9.568375788772e-07       9.999910275358e-01      -8.481492709717e-10 
       4.217496171820e-05      -2.382883259482e-03      -1.788658817530e-03      -1.788659007778e-03      -1.798191323789e-03      -1.798191323789e-03      -1.798191323789e-03      -1.789875087968e-03       6.010331263334e-01       5.997446891553e-01       3.577318015556e-03       1.516477433284e-06       9.999857801968e-01      -1.343967154877e-09 
       5.309513104849e-05      -3.774742835597e-03      -2.834814972219e-03      -2.834815450065e-03      -2.849732137651e-03      -2.849732137651e-03      -2.849732137651e-03      -2.836737202096e-03       6.010274861354e-01       5.997398885004e-01       5.669630900131e-03       2.403434838103e-06       9.999774646235e-01      -2.129396649056e-09 
       6.684280971949e-05      -5.977863206818e-03      -4.492833211627e-03      -4.492834411776e-03      -4.515996054917e-03      -4.515996054917e-03      -4.515996054917e-03      -4.495866110178e-03       6.010185491406e-01       5.997322811602e-01       8.985668823553e-03       3.809137477688e-06       9.999642875754e-01      -3.373237722447e-09 
       8.415011175159e-05      -9.462477398675e-03      -7.120545897041e-03      -7.120548911084e-03      -7.156053033177e-03      -7.156053033177e-03      -7.156053033177e-03      -7.125318503661e-03       6.010043894160e-01       5.997202258996e-01       1.424109782217e-02       6.036950404776e-06       9.999434090324e-01      -5.342137012865e-09 
