# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05614e-05 to 105.723 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       1.056141709579e-05      -1.507361293564e-04      -1.130580576032e-04      -1.130580583560e-04      -1.234051519360e-04      -1.234051519360e-04      -1.234051519360e-04      -1.131562070133e-04       6.013568528680e-01       5.996909086351e-01       2.261161167120e-04       9.555937722709e-08       9.999990285488e-01      -1.066024386821e-10 
       1.329603636645e-05      -2.388931945232e-04      -1.791848679879e-04      -1.791848698787e-04      -1.955799657178e-04      -1.955799657178e-04      -1.955799657178e-04      -1.793404006383e-04       6.013564587951e-01       5.996905834106e-01       3.583697397575e-04       1.514513199403e-07       9.999984603618e-01      -1.689500025180e-10 
       1.673871805787e-05      -3.786014330862e-04      -2.839886821447e-04      -2.839886868943e-04      -3.099632603051e-04      -3.099632603051e-04      -3.099632603051e-04      -2.842351253005e-04       6.013558348707e-01       5.996900692062e-01       5.679773737886e-04       2.400339483594e-07       9.999975598555e-01      -2.677587297615e-10 
       2.107279752391e-05      -5.999957015203e-04      -4.500912380104e-04      -4.500912499408e-04      -4.912333020382e-04      -4.912333020382e-04      -4.912333020382e-04      -4.504816746839e-04       6.013548451607e-01       5.996892521857e-01       9.001824998817e-04       3.804276246811e-07       9.999961326796e-01      -4.243474228919e-10 
       2.652908030044e-05      -9.508107227719e-04      -7.133453056993e-04      -7.133453356677e-04      -7.784886218882e-04      -7.784886218882e-04      -7.784886218882e-04      -7.139637308671e-04       6.013532769415e-01       5.996879592289e-01       1.426690671335e-03       6.029357809880e-07       9.999938708306e-01      -6.724906135424e-10 
       3.339813334175e-05      -1.506636129882e-03      -1.130573021640e-03      -1.130573096912e-03      -1.233661343840e-03      -1.233661343840e-03      -1.233661343840e-03      -1.131552217001e-03       6.013507923245e-01       5.996859101170e-01       2.261146193824e-03       9.555853685807e-07       9.999902862288e-01      -1.065685547763e-09 
       4.204575877042e-05      -2.387110706874e-03      -1.791829704886e-03      -1.791829893948e-03      -1.954819705036e-03      -1.954819705036e-03      -1.954819705036e-03      -1.793379258074e-03       6.013468542588e-01       5.996826620239e-01       3.583659787896e-03       1.514492091101e-06       9.999846054820e-01      -1.688654055950e-09 
       5.293247417425e-05      -3.781440740725e-03      -2.839839159254e-03      -2.839839634123e-03      -3.097171567416e-03      -3.097171567416e-03      -3.097171567416e-03      -2.842289092333e-03       6.013406138522e-01       5.996775147667e-01       5.679679268245e-03       2.400286467987e-06       9.999756032621e-01      -2.675466522593e-09 
       6.663803684710e-05      -5.988473277591e-03      -4.500792669236e-03      -4.500793861906e-03      -4.906153147879e-03      -4.906153147879e-03      -4.906153147879e-03      -4.504660631101e-03       6.013307259848e-01       5.996693583444e-01       9.001587723811e-03       3.804143091837e-06       9.999613386201e-01      -4.238147535228e-09 
       8.389231797889e-05      -9.479279685894e-03      -7.133152398615e-03      -7.133155393864e-03      -7.769370911759e-03      -7.769370911759e-03      -7.769370911759e-03      -7.139245259724e-03       6.013150612632e-01       5.996564347683e-01       1.426631078773e-02       6.029023399532e-06       9.999387379993e-01      -6.711529498386e-09 
       1.056141709579e-04      -1.499402257006e-02      -1.130497514428e-02      -1.130498266563e-02      -1.229767188382e-02      -1.229767188382e-02      -1.229767188382e-02      -1.131453775135e-02       6.012902498618e-01       5.996359604662e-01       2.260996533125e-02       9.555013947273e-06       9.999029368406e-01      -1.062330384467e-08 
       1.329603636645e-04      -2.368968975915e-02      -1.791640098897e-02      -1.791641987212e-02      -1.945050409863e-02      -1.945050409863e-02      -1.945050409863e-02      -1.793132128774e-02       6.012509651790e-01       5.996035311984e-01       3.583283974423e-02       1.514281261304e-05       9.998462418876e-01      -1.680231539802e-08 
       1.673871805787e-04      -3.735985712448e-02      -2.839363123606e-02      -2.839367863048e-02      -3.072681403120e-02      -3.072681403120e-02      -3.072681403120e-02      -2.841668906075e-02       6.011888004557e-01       5.995521854048e-01       5.678735726096e-02       2.399757301794e-05       9.997565020146e-01      -2.654348597648e-08 
       2.107279752391e-04      -5.874751426505e-02      -4.499597844402e-02      -4.499609734590e-02      -4.844831921873e-02      -4.844831921873e-02      -4.844831921873e-02      -4.503105071385e-02       6.010905197273e-01       5.994709377871e-01       8.999219469180e-02       3.802815536915e-05       9.996145633575e-01      -4.185253437501e-08 
       2.652908030044e-04      -9.195428873147e-02      -7.130154790997e-02      -7.130184599108e-02      -7.616112870223e-02      -7.616112870223e-02      -7.616112870223e-02      -7.135346893967e-02       6.009353635602e-01       5.993424901147e-01       1.426036919822e-01       6.025695290918e-05       9.993903294387e-01      -6.579285174134e-08 
       3.339813334175e-04      -1.428814769583e-01      -1.129745999662e-01      -1.129753464032e-01      -1.191576396528e-01      -1.191576396528e-01      -1.191576396528e-01      -1.130478119540e-01       6.006909744730e-01       5.991397194301e-01       2.259506928064e-01       9.546680102121e-05       9.990367477489e-01      -1.029356718612e-07 
       4.204575877042e-04      -2.194459572395e-01      -1.789758119214e-01      -1.789776778390e-01      -1.850323412314e-01      -1.850323412314e-01      -1.850323412314e-01      -1.790695462554e-01       6.003074064051e-01       5.988203580626e-01       3.579553556779e-01       1.512198157575e-04       9.984808411712e-01      -1.598368737021e-07 
       5.293247417425e-04      -3.308538791929e-01      -2.834658450711e-01      -2.834704968591e-01      -2.839444941345e-01      -2.839444941345e-01      -2.839444941345e-01      -2.835603416040e-01       5.997087570198e-01       5.983191859170e-01       5.669409937182e-01       2.394565128198e-04       9.976108470872e-01      -2.452489214469e-07 
       6.663803684710e-04      -4.842980386024e-01      -4.487869119656e-01      -4.487984624495e-01      -4.277177607689e-01      -4.277177607689e-01      -4.277177607689e-01      -4.488083377658e-01       5.987825143172e-01       5.975371573654e-01       8.975969248990e-01       3.789930829884e-04       9.962589954308e-01      -3.692818118737e-07 
       8.389231797889e-04      -6.761772818236e-01      -7.101039542369e-01      -7.101324668430e-01      -6.259501876588e-01      -6.259501876588e-01      -6.259501876588e-01      -7.098433847328e-01       5.973684184664e-01       5.963276325932e-01       1.420264933686e+00       5.993937703471e-04       9.941812744574e-01      -5.398081958694e-07 
       1.056141709579e-03      -8.751967812432e-01      -1.122565546170e+00      -1.122635367180e+00      -8.764739125698e-01      -8.764739125698e-01      -8.764739125698e-01      -1.121512870602e+00       5.952523724059e-01       5.944822241000e-01       2.245270734359e+00       9.469209514056e-04       9.910399478420e-01      -7.533912192978e-07 
       1.329603636645e-03      -1.003968605397e+00      -1.772222655327e+00      -1.772391956612e+00      -1.149987057779e+00      -1.149987057779e+00      -1.149987057779e+00      -1.769285732747e+00       5.921762944031e-01       5.917238044870e-01       3.544783913225e+00       1.493586039136e-03       9.864018987264e-01      -9.793715689116e-07 
       1.673871805787e-03      -9.586332703918e-01      -2.792403582563e+00      -2.792811086430e+00      -1.383426437129e+00      -1.383426437129e+00      -1.383426437129e+00      -2.785596062796e+00       5.878665455625e-01       5.877131688407e-01       5.585622172860e+00       2.350772798003e-03       9.797561426541e-01      -1.147215829141e-06 
       2.107279752391e-03      -7.454526223676e-01      -4.388097849176e+00      -4.389073343512e+00      -1.528881596018e+00      -1.528881596018e+00      -1.528881596018e+00      -4.374556398235e+00       5.821029779700e-01       5.821221607260e-01       8.778146687025e+00       3.689809601175e-03       9.706096348395e-01      -1.177129831887e-06 
       2.652908030044e-03      -6.570073352945e-01      -6.871443837205e+00      -6.873793015573e+00      -1.685673144258e+00      -1.685673144258e+00      -1.685673144258e+00      -6.848110202457e+00       5.746610309268e-01       5.746688897278e-01       1.374758603115e+01       5.772475229437e-03       9.584503290090e-01      -1.097764871552e-06 
       3.339813334175e-03      -8.550163056862e-01      -1.071267319426e+01      -1.071840705297e+01      -2.063341675269e+00      -2.063341675268e+00      -2.063341675268e+00      -1.067623666776e+01       5.651190926170e-01       5.650653961657e-01       2.143681410593e+01       8.994573717763e-03       9.425953589012e-01      -1.095668015818e-06 
       4.204575877042e-03      -7.278615710152e-01      -1.660986145796e+01      -1.662393041225e+01      -2.459367905109e+00      -2.459367905109e+00      -2.459367905109e+00      -1.655465093504e+01       5.528073174012e-01       5.527911274431e-01       3.324786082449e+01       1.394343449740e-02       9.221084187106e-01      -1.154236154154e-06 
       5.293247417425e-03      -7.794591823649e-01      -2.557786651504e+01      -2.561227006611e+01      -2.704628036789e+00      -2.704628036789e+00      -2.704628036789e+00      -2.550006527554e+01       5.372064525851e-01       5.371902624194e-01       5.122454013222e+01       2.147363783459e-02       8.961259063432e-01      -1.114288727699e-06 
       6.663803684710e-03      -6.570495667100e-01      -3.905301557428e+01      -3.913693407923e+01      -3.027443884565e+00      -3.027443884565e+00      -3.027443884565e+00      -3.895669939144e+01       5.177868443977e-01       5.177823330184e-01       7.827386815846e+01       3.280173742378e-02       8.637538751441e-01      -1.116883627565e-06 
       8.389231797889e-03      -7.312906369497e-01      -5.899310875223e+01      -5.919624254341e+01      -3.250491800825e+00      -3.250491800826e+00      -3.250491800825e+00      -5.890779975403e+01       4.939926310691e-01       4.939879245595e-01       1.183924850868e+02       4.959693691966e-02       8.240765966597e-01      -1.085373644911e-06 
       1.056141709579e-02      -8.012337398588e-01      -8.791537582557e+01      -8.840143918717e+01      -3.271955442807e+00      -3.271955442807e+00      -3.271955442807e+00      -8.793757415772e+01       4.652740000830e-01       4.652712823909e-01       1.768028783743e+02       7.403608437110e-02       7.761827928225e-01      -1.052291440380e-06 
       1.329603636645e-02      -6.541517248292e-01      -1.287505554285e+02      -1.298927719745e+02      -2.086697153991e+00      -2.086697153991e+00      -2.086697153991e+00      -1.291364977857e+02       4.310961625193e-01       4.310947726317e-01       2.597855439489e+02       1.087233733278e-01       7.191848518023e-01      -9.727139351106e-07 
       1.673871805784e-02      -6.475149901485e-01      -1.842992456716e+02      -1.869084978496e+02      -1.865949404109e+00      -1.865949404109e+00      -1.865949404109e+00      -1.856665237249e+02       3.910663150935e-01       3.910650011623e-01       3.738169956993e+02       1.563202893872e-01       6.524189547227e-01      -9.032351398063e-07 
